Index,bloom_doy,Years,Date of bloom,Avg Humidity on BD,Jan temp,Feb temp,March temp,April temp,Avg Temp on BD
1,108,1982,4/18/1982,84,1.5,4.3,6.8,8.2,10
2,101,1983,4/11/1983,68.5,1.7,3.8,5.6,11.8,11.7
3,110,1984,4/19/1984,70.5,1.1,4.2,8,11,9.4
4,106,1985,4/16/1985,79.4,1.6,3,7.8,12.1,10.2
5,121,1986,5/1/1986,81.3,1.5,4,7.9,9.9,9.1
6,112,1987,4/22/1987,76.9,1.4,3.4,5.8,11.3,11.7
7,108,1988,4/17/1988,63.7,1.6,3.7,6.2,11.2,12.5
8,87,1989,3/28/1989,75.1,1.8,3.3,7.7,10.2,8.9
9,75,1990,3/16/1990,75.3,1.9,3.1,6.7,11.5,12.6
10,94,1991,4/4/1991,74.6,1.3,3.8,7.4,10.9,9.4
11,102,1992,4/11/1992,56.9,1.5,3.8,5.9,10.7,9.2
12,101,1993,4/11/1993,56,2,2.9,6.6,9.9,11.4
13,82,1994,3/23/1994,70.6,1.6,3.6,6.8,8.4,10.5
14,93,1995,4/3/1995,78.6,1.9,4.1,6.5,10.1,10.2
15,109,1996,4/18/1996,59.3,-1,6.3,6.4,0.6,9.8
16,81,1997,3/22/1997,69.4,-1.7,6.7,7.4,8.6,9.6
17,90,1998,3/31/1998,71,3.3,5,8.3,10.6,10.4
18,94,1999,4/4/1999,80.9,1.3,2.1,7.2,8.3,8.8
19,92,2000,4/1/2000,81,-0.6,4.7,7.2,11.2,7
20,89,2001,3/30/2001,85.5,2.7,4.9,9.5,8.5,9.1
21,77,2002,3/18/2002,53.5,1.5,6,9,9.3,9.1
22,92,2003,4/2/2003,56,0.5,-0.5,10.7,12,4.8
23,92,2004,4/1/2004,63.7,2.1,2.2,6.4,9.8,7.9
24,95,2005,4/5/2005,76.8,2.4,1.4,3.6,11.7,8.2
25,111,2006,4/21/2006,63.5,-1.8,0.6,6.1,9,15.7
26,94,2007,4/4/2007,61.4,6.1,5.8,7.3,14,12
27,89,2008,3/29/2008,71,3.7,3.6,5,9.2,9
28,100,2009,4/10/2009,65.1,-0.2,1.8,5.7,10.8,13.4
29,98,2010,4/8/2010,69,-1,4,6,11,10
30,90,2011,3/31/2011,43,2,4,7,13,11.5
31,93,2012,4/2/2012,64,4,-3,8,10,10
32,107,2013,4/17/2013,69,2,0,4,10,17.5
33,84,2014,3/25/2014,36,4,6,8,12,16
34,101,2015,4/11/2015,61,3,2,7,11,14.5
35,97,2016,4/6/2016,66,4,5,6,10,9.5
36,85,2017,3/26/2017,73,-2,5,9,10,10.5
37,98,2018,4/8/2018,75,6,0,5,14,12
38,86,2019,3/27/2019,69,2,5,8,10,10.2
39,77,2020,3/17/2020,69,4,8,7,13,12.6
40,87,2021,3/28/2021,65,2,5,7,8,8.4
